id,question_id,participant_id,frisian,dutch,english,Arguments
3_6091,3,6091,"Zowel inwoners en de gemeenten kunnen de taak van de RES niet samen vervullen, dus zal en klein deel door marktpartijen worden ingevuld, echter waarbij de regio mee beslist/profiteert van dergelijke projecten.","Zowel inwoners en de gemeenten kunnen de taak van de RES niet samen vervullen, dus zal en klein deel door marktpartijen worden ingevuld, echter waarbij de regio mee beslist/profiteert van dergelijke projecten.","Both residents and the municipalities cannot fulfil the task of the RES together, so a small part will be filled by market parties, but the region will decide/benefit from such projects.",(Both residents and the municipalities cannot fulfil the task of the RES together)
1_118561,1,118561,"Wij willen geen windmolen- of zonnepark, of biomassa vergister worden voor heel Nederland.","Wij willen geen windmolen- of zonnepark, of biomassa vergister worden voor heel Nederland.","We do not want to become a wind turbine or solar park, or biomass digester for the whole of the Netherlands.",None
2_117281,2,117281,De (woon) situatie is voor iedereen verschillend. Echter een ieder die moedwillig is om er een steentje aan bij te dragen moet gestimuleerd worden.,De (woon) situatie is voor iedereen verschillend. Echter een ieder die moedwillig is om er een steentje aan bij te dragen moet gestimuleerd worden.,"The (living) situation is different for everyone. However, anyone who is willing to contribute to it should be encouraged.",None
2_92531,2,92531,Volgens mij kun je dit niet helemaal overlaten aan de inwoners. Maar particuliere initiatieven moet in mijn visie wel mogelijk zijn.,Volgens mij kun je dit niet helemaal overlaten aan de inwoners. Maar particuliere initiatieven moet in mijn visie wel mogelijk zijn.,"I don't think you can leave this entirely to the inhabitants. But in my view, private initiatives should be possible.",None
6_117953,6,117953,"Deze stelling maakt alsof Friesland het alleen moet doen terwijl juist landelijk er duurzaam ingezet moet worden. Juist samenwerking met alle provincies is goed omdat de stelling dan kan worden: ""Energieleverancier worden van EU omliggende landen.""","Deze stelling maakt alsof Friesland het alleen moet doen terwijl juist landelijk er duurzaam ingezet moet worden. Juist samenwerking met alle provincies is goed omdat de stelling dan kan worden: ""Energieleverancier worden van EU omliggende landen.""","This statement makes it as if Friesland has to do it alone, while it is precisely nationally that sustainable use must be made. It is precisely cooperation with all provinces that is good because the statement can then become: ""Become an energy supplier to EU surrounding countries.""","(the statement can then become: ""Become an energy supplier to EU surrounding countries."")"
3_117817,3,117817,De markt zal in vele gevallen bepalen wat er komt. Echter ligt hier wel een taak voor het gemeentelijk bestuur om de controle te houden of plannen en producten ook duurzaam en rendabel zijn voor de gemeente.,De markt zal in vele gevallen bepalen wat er komt. Echter ligt hier wel een taak voor het gemeentelijk bestuur om de controle te houden of plannen en producten ook duurzaam en rendabel zijn voor de gemeente.,"In many cases, the market will determine what comes. However, this is a task for the municipal administration to keep control of whether plans and products are also sustainable and profitable for the municipality.",None
2_120032,2,120032,"Inwoners kunnen zelf zorg dragen voor zonnepanelen, warmtepompen etc. EVENTUEEL MET BEHULP VAN GOEDE FINACIERINGSPROGRAMMAS.","Inwoners kunnen zelf zorg dragen voor zonnepanelen, warmtepompen etc. EVENTUEEL MET BEHULP VAN GOEDE FINACIERINGSPROGRAMMAS.","Residents can take care of solar panels, heat pumps, etc. POSSIBLY WITH THE HELP OF GOOD FINANCING PROGRAMS.",None
1_5308,1,5308,Beter de gemeente dan een hogere overheid als de provincie of Den Haag. Hou het dicht bij de burger.,Beter de gemeente dan een hogere overheid als de provincie of Den Haag. Hou het dicht bij de burger.,Better the municipality than a higher government like the province or The Hague. Keep it close to the citizen.,None
6_117751,6,117751,Ik zie hier helemaal niets in. Het landschap wordt ermee naar de sodemieter geholpen terwijl Súdwest-Fryslân een toeristisch gerichte gemeente is. Dit is daarom in mijn optiek een dom en zelfvernietigend idee.,Ik zie hier helemaal niets in. Het landschap wordt ermee naar de sodemieter geholpen terwijl Súdwest-Fryslân een toeristisch gerichte gemeente is. Dit is daarom in mijn optiek een dom en zelfvernietigend idee.,"I don't see anything in this. The landscape is helped to the sodemieter while Súdwest-Fryslân is a tourist-oriented municipality. This is therefore, in my view, a stupid and self-defeating idea.",(The landscape is helped to the sodemieter while Súdwest-Fryslân is a tourist-oriented municipality)
2_96424,2,96424,Dit zou een hele goede optie zijn omdat de inwoners dan hun eigen keuzes kunnen maken. Het kan echter ook een rommeltje worden. Er is dus wel regie nodig en kaders van de provincie. Ook de kosten hebben invloed op de keuzes en daar hebben de meeste inwoners weinig kijk op.,Dit zou een hele goede optie zijn omdat de inwoners dan hun eigen keuzes kunnen maken. Het kan echter ook een rommeltje worden. Er is dus wel regie nodig en kaders van de provincie. Ook de kosten hebben invloed op de keuzes en daar hebben de meeste inwoners weinig kijk op.,"This would be a very good option because the inhabitants can then make their own choices. However, it can also become a mess. So there is a need for direction and frameworks from the province. The costs also influence the choices and most residents have little insight into this.",(the inhabitants can then make their own choices) AND (it can also become a mess)
5_118391,5,118391,Is een belangrijk element omdat zo het zelf-gebruik verder gestimuleerd kan worden. Naar mijn idee essentieel. Verder zou biomassa en palletkachels z.s.m. uit het pakket geschrapt moeten worden. Dan liever kernenergie als transitie!,Is een belangrijk element omdat zo het zelf-gebruik verder gestimuleerd kan worden. Naar mijn idee essentieel. Verder zou biomassa en palletkachels z.s.m. uit het pakket geschrapt moeten worden. Dan liever kernenergie als transitie!,"Is an important element because it allows self-use to be further stimulated. In my opinion, essential. Furthermore, biomass and pallet stoves should be removed from the package as soon as possible. Then rather nuclear energy as a transition!",(it allows self-use to be further stimulated)
3_118580,3,118580,"Gezien de impact van de maatregelen, tot achter de voordeur, lijkt het beter de regie bij gemeenten en inwoners te leggen. De markt kan uitv  oeren.","Gezien de impact van de maatregelen, tot achter de voordeur, lijkt het beter de regie bij gemeenten en inwoners te leggen. De markt kan uitv  oeren.","Given the impact of the measures, right behind the front door, it seems better to put the control in the hands of municipalities and residents. The market can go out.",(Given the impact of the measures)
2_9208,2,9208,"De beste manier om te garanderen dat iedereen groen en betrouwbaar voorzien wordt van stroom, is al het centraal geregeld wordt.","De beste manier om te garanderen dat iedereen groen en betrouwbaar voorzien wordt van stroom, is al het centraal geregeld wordt.",The best way to guarantee that everyone is supplied with electricity green and reliably is to control everything centrally.,None
6_6332,6,6332,Geen goed plan! Veel teveel energie opwekken in onze gemeente om gedeelten van het land maar voor energie te voorzien.  Zie punt 5!,Geen goed plan! Veel teveel energie opwekken in onze gemeente om gedeelten van het land maar voor energie te voorzien.  Zie punt 5!,Not a good plan! Generating far too much energy in our municipality to provide parts of the country with energy.  See point 5!,None
3_5522,3,5522,Kan de balans tussen peaple - planet - profit houden. Al zal het wel snel in hun voordeel zijn. Daarom moeten er goede afspraken gemaakt worden met de gemeente.,Kan de balans tussen peaple - planet - profit houden. Al zal het wel snel in hun voordeel zijn. Daarom moeten er goede afspraken gemaakt worden met de gemeente.,Can keep the balance between peaple - planet - profit. Although it will soon be in their favor. That is why good agreements must be made with the municipality.,None
3_6903,3,6903,"Competitie van elkaar is nooit slecht zolang er van elkaar geleed kan worden. Er zijn te veel mogelijkheden, de consument moet kunnen kiezen.","Competitie van elkaar is nooit slecht zolang er van elkaar geleed kan worden. Er zijn te veel mogelijkheden, de consument moet kunnen kiezen.","Competition from each other is never bad as long as one can suffer from each other. There are too many options, the consumer must be able to choose.",None
3_7054,3,7054,Mensen willen graag betrokken worden in dit soort beslissingen.  We willen zelf kiezen hoe we verduurzamen.,Mensen willen graag betrokken worden in dit soort beslissingen.  We willen zelf kiezen hoe we verduurzamen.,People want to be involved in these kinds of decisions.  We want to choose how we make it more sustainable.,None
1_117839,1,117839,De gemeente moet energie opwekking door lokale energie coöperaties ondersteunen. De gemeente moet geen te grote broek aantrekken wat betreft grootschalige energieopslag. Hooguit alleen voor de eigen gemeente. Ook het idee om de energieleverancier van Nederland te worden is megalomaan. Dat gaat nooit lukken in SWF. De markt wil alleen zo veel mogelijk geld aan mensen onttrekken..,De gemeente moet energie opwekking door lokale energie coöperaties ondersteunen. De gemeente moet geen te grote broek aantrekken wat betreft grootschalige energieopslag. Hooguit alleen voor de eigen gemeente. Ook het idee om de energieleverancier van Nederland te worden is megalomaan. Dat gaat nooit lukken in SWF. De markt wil alleen zo veel mogelijk geld aan mensen onttrekken..,"The municipality must support energy generation by local energy cooperatives. The municipality should not put on too big pants when it comes to large-scale energy storage. At most, only for your own municipality. The idea of becoming the energy supplier of the Netherlands is also megalomaniacal. That's never going to work in SWF. The market only wants to extract as much money as possible from people.",(That's never going to work in SWF) AND (The market only wants to extract as much money as possible from people)
2_117845,2,117845,geen goed idee. straks tienduizenden mensen die allemaal hetzelfde buskruit gaan uitvinden.  niet effectief.,geen goed idee. straks tienduizenden mensen die allemaal hetzelfde buskruit gaan uitvinden.  niet effectief.,Not a good idea. Soon tens of thousands of people will all invent the same gunpowder.  ineffective.,(Soon tens of thousands of people will all invent the same gunpowder)
2_119050,2,119050,particulieren die het kunnen betalen en door de gemeente goede gekeurde dingen doen in het kader van duurzaamheid wat ook past binnen de kaders van inrichting ( dus wel door gemeente goed gecontroleerd) is een goede zaak en kan bijdragen aan de gezamenlijke oplossing,particulieren die het kunnen betalen en door de gemeente goede gekeurde dingen doen in het kader van duurzaamheid wat ook past binnen de kaders van inrichting ( dus wel door gemeente goed gecontroleerd) is een goede zaak en kan bijdragen aan de gezamenlijke oplossing,"private individuals who can afford it and do things approved by the municipality in the context of sustainability, which also fits within the framework of design (i.e. well controlled by the municipality) is a good thing and can contribute to the joint solution",None
1_118262,1,118262,"vooral financieel lijkt mij dit  de beste keus, en ook dat in een bepaalde (stads)wijk een gelijkheid  ontstaat van de daar staande woningen en geen wirwar van mogelijke mogelijkheden","vooral financieel lijkt mij dit  de beste keus, en ook dat in een bepaalde (stads)wijk een gelijkheid  ontstaat van de daar staande woningen en geen wirwar van mogelijke mogelijkheden","Especially financially, this seems to me to be the best choice, and also that in a certain (city) district an equality of the houses there arises and no jumble of possible possibilities.",None
1_7155,1,7155,"Er is regie nodig om te voorkomen dat overal en met te kleine initiatieven energie wordt opgewekt. Bovendien is het goed als de overheid een vinger in de pap heeft en (grote) bedrijven niet gaan bepalen wat er gebeurt. De bedrijven heb je zeker wel nodig maar daar kan de overheid met sturende maatregelen (o.a. subsidies, locatiebeleid etc.) greep op houden en stimuleren.","Er is regie nodig om te voorkomen dat overal en met te kleine initiatieven energie wordt opgewekt. Bovendien is het goed als de overheid een vinger in de pap heeft en (grote) bedrijven niet gaan bepalen wat er gebeurt. De bedrijven heb je zeker wel nodig maar daar kan de overheid met sturende maatregelen (o.a. subsidies, locatiebeleid etc.) greep op houden en stimuleren.","Control is needed to prevent energy from being generated everywhere and with initiatives that are too small. Moreover, it is good if the government has a finger in the pie and (large) companies do not determine what happens. You certainly need the companies, but the government can keep a grip on this with steering measures (including subsidies, location policy, etc.).","(the government can keep a grip on this with steering measures (including subsidies, location policy, etc.))"
1_6577,1,6577,regie vanuit publieke partij (sturen op rechtvaardige verdeling van lusten en lasten) en zorg voor kwaliteit landschap,regie vanuit publieke partij (sturen op rechtvaardige verdeling van lusten en lasten) en zorg voor kwaliteit landschap,direction from the public party (steering on the fair distribution of benefits and burdens) and ensuring the quality of the landscape,None
6_119567,6,119567,Dit vind ik een heel goed idee omdat dit heel veel oplevert voor de gemeente en voor Nederland. Omdat de gemeente er heel veel uit kan verdienen en Nederland ook.,Dit vind ik een heel goed idee omdat dit heel veel oplevert voor de gemeente en voor Nederland. Omdat de gemeente er heel veel uit kan verdienen en Nederland ook.,I think this is a very good idea because it yields a lot for the municipality and for the Netherlands. Because the municipality can earn a lot from it and so can the Netherlands.,(it yields a lot for the municipality and for the Netherlands) AND (the municipality can earn a lot from it and so can the Netherlands)
1_118651,1,118651,"Niet iedereen die het wil kan investeren in zonnepanelen.  Windmolens zijn niet aan de orde, die hebben we genoeg in de gemeente en we willen geen molens meer die de horizon vervuilen.","Niet iedereen die het wil kan investeren in zonnepanelen.  Windmolens zijn niet aan de orde, die hebben we genoeg in de gemeente en we willen geen molens meer die de horizon vervuilen.","Not everyone who wants to can invest in solar panels.  Windmills are not an issue, we have enough of them in the municipality and we no longer want windmills that pollute the horizon.",(we have enough of them in the municipality) AND (we no longer want windmills that pollute the horizon)
2_8352,2,8352,"In een gezamenlijke gemeenschap iets moois tot stand brengen, waar ieder een steentje bijdraagt naar ieders vermogen. En het geeft een drive omdat er ook weer terugverdiend  gaat worden.  Mijn voorkeur gaat uit naar vooral windmolens, en zonnepanelen op bestaande gebouwen  en zeker niet naar panelen op ( landbouw)grond.","In een gezamenlijke gemeenschap iets moois tot stand brengen, waar ieder een steentje bijdraagt naar ieders vermogen. En het geeft een drive omdat er ook weer terugverdiend  gaat worden.  Mijn voorkeur gaat uit naar vooral windmolens, en zonnepanelen op bestaande gebouwen  en zeker niet naar panelen op ( landbouw)grond.","Creating something beautiful in a shared community, where everyone contributes to everyone's ability. And it gives a drive because there will also be recouped.  My preference is mainly for windmills, and solar panels on existing buildings and certainly not for panels on (agricultural) land.",(there will also be recouped)
6_8294,6,8294,"Als de burgers van de gemeente hierin een zelf een leidende rol zien, een voortrekkers rol om duurzaam energie op te wekken mogelijk te maken dan is dit zeker een overweging. Maar ook voor dit punt geldt dat de burgers dan echt zelf daar voor de volle 100|% achter zouden moeten staan. Het gevaar bestaat bij deze optie dat vooral het verdienmodel hiervan de hoofdmoot is terwijl het er, volgens mij, eigenlijk vooral om gaat de burger te betrekken bij het opwekken van duurzame energie en daar bewust mee bezig te gaan.","Als de burgers van de gemeente hierin een zelf een leidende rol zien, een voortrekkers rol om duurzaam energie op te wekken mogelijk te maken dan is dit zeker een overweging. Maar ook voor dit punt geldt dat de burgers dan echt zelf daar voor de volle 100|% achter zouden moeten staan. Het gevaar bestaat bij deze optie dat vooral het verdienmodel hiervan de hoofdmoot is terwijl het er, volgens mij, eigenlijk vooral om gaat de burger te betrekken bij het opwekken van duurzame energie en daar bewust mee bezig te gaan.","If the citizens of the municipality see a leading role in this, a pioneering role to enable sustainable energy generation, then this is certainly a consideration. But here too, the citizens themselves should really be 100% behind it. There is a danger with this option that the main focus of this is on the revenue model, while, in my opinion, it is really mainly about involving citizens in the generation of sustainable energy and consciously working on this.",(the citizens themselves should really be 100% behind it)
4_118054,4,118054,Is denk dat dit gemakkelijkste oplossing is en waarschijnlijk de goedkoopste? Alleen zorgt dit vaak wel voor een verstoring van het landschap/omgeving (grote velden met zonnepanelen bv),Is denk dat dit gemakkelijkste oplossing is en waarschijnlijk de goedkoopste? Alleen zorgt dit vaak wel voor een verstoring van het landschap/omgeving (grote velden met zonnepanelen bv),"Is think this is easiest solution and probably the cheapest? However, this often causes a disruption of the landscape / environment (large fields with solar panels, for example)",None
5_119442,5,119442,"Als we van het gas af gaan, is het van belang dat er altijd energie beschikbaar is. Liever veel opslaan en weinig terugleveren. Zo kunnen we onafhankelijk worden van de grote energieleveranciers.","Als we van het gas af gaan, is het van belang dat er altijd energie beschikbaar is. Liever veel opslaan en weinig terugleveren. Zo kunnen we onafhankelijk worden van de grote energieleveranciers.","If we are going to get rid of gas, it is important that energy is always available. Prefer to store a lot and deliver little. This allows us to become independent of the major energy suppliers.",(This allows us to become independent of the major energy suppliers)
2_5730,2,5730,"Een energiecoöperatie zoals in IJlst is een mooi voorbeeld. Geen impact op het landschap. Kleinschalig en tegen een bedrijventerrein aan. Prima. Mooier is nog natuurlijk dat eerst de daken volop worden benut. Kan dit niet dan zoeken naar dubbelbestemmingen en overhoeken (mooi voorbeeld, zonnepark Hemriksein in afslaglus N31). Kan dit niet dan inpassen tegen dorps- of stadskernen aan (zoals dus bijvoorbeeld in IJlst). De dorpsmolen kan ook, dan dient dit een bestaande molen te zijn die wordt opgeschaald (zelfde molen, alleen moderner en dus meer MW). Geen nieuwe molens erbij.","Een energiecoöperatie zoals in IJlst is een mooi voorbeeld. Geen impact op het landschap. Kleinschalig en tegen een bedrijventerrein aan. Prima. Mooier is nog natuurlijk dat eerst de daken volop worden benut. Kan dit niet dan zoeken naar dubbelbestemmingen en overhoeken (mooi voorbeeld, zonnepark Hemriksein in afslaglus N31). Kan dit niet dan inpassen tegen dorps- of stadskernen aan (zoals dus bijvoorbeeld in IJlst). De dorpsmolen kan ook, dan dient dit een bestaande molen te zijn die wordt opgeschaald (zelfde molen, alleen moderner en dus meer MW). Geen nieuwe molens erbij.","An energy cooperative such as the one in IJlst is a good example. No impact on the landscape. Small-scale and close to a business park. Excellent. Even better, of course, is that the roofs are first fully used. If this is not possible, search for double destinations and overhangs (good example, solar park Hemriksein in exit loop N31). Can't fit this against village or city centers (as for example in IJlst). The village mill is also possible, then this should be an existing mill that is scaled up (same mill, only more modern and therefore more MW). No new mills.",(No impact on the landscape) AND (Small-scale and close to a business park) AND (the roofs are first fully used)
4_119750,4,119750,Zo worden er op zo weinig mogelijk plekken de natuur aangetast en heb je de energie-opwekkers allemaal bij elkaar staan.,Zo worden er op zo weinig mogelijk plekken de natuur aangetast en heb je de energie-opwekkers allemaal bij elkaar staan.,"In this way, nature is affected in as few places as possible and you have the energy generators all together.",None
5_119331,5,119331,"Enige opslag is goed, maar niet voor heel of half Nederland  Dan krijgen we straks landschapsvervuiling","Enige opslag is goed, maar niet voor heel of half Nederland  Dan krijgen we straks landschapsvervuiling","Some storage is good, but not for all or half of the Netherlands Then we will soon get landscape pollution",(Then we will soon get landscape pollution)
6_119063,6,119063,Ook hierbij een positief effect voor de arbeidsmarkt in de regio. Hierbij is de impact op leefbaarheid en toerisme wel een belangrijke randvoorwaarde.,Ook hierbij een positief effect voor de arbeidsmarkt in de regio. Hierbij is de impact op leefbaarheid en toerisme wel een belangrijke randvoorwaarde.,"Here too, a positive effect on the labour market in the region. The impact on quality of life and tourism is an important precondition for this.",None
